flame_id,reindexed_id,x,y,credibility
1,1,796.568,753.919,0.162372
2,1,797.376,753.934,0.121339
3,1,797.529,753.797,0.119379
4,1,787.239,735.196,0.0684637
5,1,802.418,754.595,0.11604
6,1,790.015,736.159,0.0683256
7,1,804.738,753.905,0.124741
8,1,792.488,738.117,0.0701496
9,1,804.295,751.246,0.0780479
10,1,804.996,752.353,0.0795518
11,1,807.691,754.178,0.0966628
12,1,813.928,753.847,0.223851
13,1,813.233,752.856,0.112672
14,1,846.735,782.325,0.0160645
15,1,813.311,755.192,0.0786638
16,1,0,0,0
17,1,805.895,736.972,0.0715131
18,1,808.056,737.862,0.0753782
19,1,808.072,739.882,0.0700457
20,1,820.106,742.984,0.0315586
21,1,816.202,744.884,0.0789856
22,1,818.037,755.906,0.192547
23,1,825.156,755.098,0.0853125
24,1,826.756,746.541,0.0376995
25,1,815.678,737.462,0.0675852
26,1,816.785,740.18,0.0746257
27,1,818.371,740.272,0.0616111
28,1,822.35,748.945,0.0392765
29,1,822.923,743.456,0.0728699
30,1,822.969,746.64,0.0346403
31,1,821.287,736.275,0.0489549
32,1,826.944,740.168,0.0566884
33,1,821.509,736.327,0.0567305
34,1,825.147,736.338,0.0552686
35,1,831.86,740.684,0.0604924
36,1,831.273,743.648,0.0616748
37,1,834.719,743.138,0.0591656
38,1,832.414,741.783,0.0700627
39,1,833.946,741.14,0.0593339
40,1,837.483,742.235,0.0650034
41,1,836.05,741.701,0.0587684
42,1,838.193,741.468,0.0506279
43,1,835.425,734.124,0.0622072
44,1,830.606,656.68,0.0592389
45,1,818.475,688.486,0.0356644
46,1,835.184,659.966,0.0801034
47,1,833.755,736.221,0.0191024
48,1,839.362,660.55,0.0564259
49,1,0,0,0
50,1,840.964,661.199,0.0576062
51,1,842.868,659.196,0.0653461
52,1,844.899,659.795,0.0627662
53,1,852.834,730.829,0.0370799
54,1,853.256,737.22,0.0724643
55,1,848.663,720.604,0.0708977
56,1,851.48,660.823,0.0567604
57,1,843.751,691.019,0.043881
58,1,854.173,659.653,0.0661685
59,1,858.045,730.897,0.0686409
60,1,861.313,739.379,0.066335
61,1,859.878,662.339,0.0851728
62,1,859.74,659.293,0.0951759
63,1,862.376,660.825,0.0951817
64,1,863.217,661.236,0.112143
65,1,865.242,659.348,0.0745411
66,1,868.987,662.525,0.0878687
67,1,868.186,658.607,0.0604191
68,1,869.928,659.838,0.0856126
69,1,871.918,662.653,0.077664
70,1,873.358,660.999,0.0725652
71,1,881.025,736.42,0.0728895
72,1,877.06,659.856,0.0726456
73,1,878.21,659.53,0.0894654
74,1,881.068,660.964,0.0822859
75,1,885.696,734.995,0.0616346
76,1,868.635,691.679,0.0415357
77,1,883.596,660.881,0.0875024
78,1,0,0,0
79,1,887.359,660.031,0.0695236
80,1,881.15,730.71,0.052188
81,1,889.152,658.481,0.0664932
82,1,893.223,658.454,0.0695776
83,1,893.485,659.178,0.0916594
84,1,905.389,697.483,0.0127019
85,1,895.652,658.856,0.0977372
86,1,888.28,661.086,0.0613737
87,1,898.538,657.765,0.0843634
88,1,888.753,730.434,0.062249
89,1,905.33,661.627,0.0929776
90,1,903.358,656.017,0.0811132
91,1,905.155,654.39,0.078711
92,1,903.333,657.883,0.115361
93,1,903.188,782.078,0.0878675
94,1,910.204,659.693,0.108246
95,1,911.131,657.39,0.107299
96,1,913.379,654.17,0.0781987
97,1,915.22,655.068,0.117107
98,1,915.936,656.017,0.122146
99,1,916.851,653.71,0.107377
100,1,918.696,653.462,0.0821027
101,1,912.922,657.931,0.106916
102,1,923.114,656.382,0.120485
103,1,925.776,655.735,0.0778398
104,1,924.982,653.415,0.0865142
105,1,926.317,656.979,0.142398
106,1,927.383,655.035,0.107378
107,1,928.282,654.294,0.0902734
108,1,932.824,654.191,0.079012
109,1,911.539,757.428,0.20979
110,1,934.798,655.71,0.103325
111,1,902.285,784.356,0.0386025
112,1,935.827,651.724,0.104412
113,1,920.644,686.046,0.0673669
114,1,939.722,654.998,0.0963734
115,1,945.824,656.672,0.0894989
116,1,946.146,655.956,0.081158
117,1,926.845,786.119,0.0841955
118,1,949.817,739.613,0.0614612
119,1,942.08,726.767,0.044762
120,1,951.374,651.157,0.0627384
121,1,952.907,655.875,0.0661538
122,1,953.061,736.419,0.0531874
123,1,957.632,727.626,0.0615065
124,1,958.158,735.774,0.0631165
125,1,959.062,734.469,0.0590973
126,1,961.289,736.51,0.0607127
127,1,963.104,652.949,0.0600269
128,1,963.97,652.786,0.0649961
129,1,965.761,728.569,0.056494
130,1,964.388,646.373,0.0538465
131,1,971.282,726.076,0.0507596
132,1,965.657,711.978,0.0263595
133,1,968.474,648.419,0.0677673
134,1,971.117,736.616,0.0360054
135,1,971.324,646.304,0.0654783
136,1,965.968,676.484,0.0652984
137,1,977.721,723.75,0.0588996
138,1,978.99,723.679,0.0667086
139,1,978.705,727.124,0.0607402
140,1,0,0,0
