flame_id,reindexed_id,x,y,credibility
1,1,756.422,747.939,0.694898
2,1,756.58,747.858,0.695753
3,1,757.294,747.93,0.70404
4,1,758.804,747.636,0.667123
5,1,758.882,750.152,0.690477
6,1,761.499,748.635,0.683666
7,1,764.298,748.743,0.714471
8,1,763.978,748.808,0.713761
9,1,766.728,748.562,0.699303
10,1,768.419,748.869,0.697063
11,1,768.475,749.722,0.693064
12,1,775.189,756.429,0.699255
13,1,771.604,749.387,0.679412
14,1,787.915,761.827,0.137797
15,1,774.402,749.887,0.707511
16,1,0,0,0
17,1,777.858,748.73,0.704097
18,1,779.327,748.635,0.730653
19,1,780.457,748.789,0.718055
20,1,785.673,756.758,0.619678
21,1,783.241,749.221,0.6756
22,1,789.523,760.794,0.540497
23,1,785.003,749.118,0.698619
24,1,796.276,760.475,0.575261
25,1,789.146,748.959,0.672704
26,1,789.374,749.907,0.693841
27,1,791.373,749.852,0.67913
28,1,800.473,762.072,0.436665
29,1,796.753,750.21,0.685206
30,1,804.252,760.901,0.529145
31,1,798.92,748.8,0.68832
32,1,800.905,748.848,0.623087
33,1,801.082,748.762,0.634495
34,1,802.954,748.766,0.617631
35,1,806.134,748.153,0.602487
36,1,807.736,747.851,0.589452
37,1,807.894,748.016,0.591633
38,1,808.219,748.696,0.643032
39,1,810.883,748.827,0.642123
40,1,811.312,749.834,0.676575
41,1,814.193,748.695,0.63915
42,1,815.82,748.628,0.660575
43,1,817.389,748.552,0.623722
44,1,817.839,749.699,0.595339
45,1,817.614,753.906,0.515258
46,1,819.748,749.858,0.639919
47,1,830.368,758.237,0.220387
48,1,823.571,749.72,0.624275
49,1,0,0,0
50,1,826.811,749.658,0.662354
51,1,828.658,749.789,0.641865
52,1,829.567,749.084,0.640653
53,1,837.741,757.66,0.57178
54,1,832.82,749.659,0.645768
55,1,831.942,754.975,0.569339
56,1,836.555,749.497,0.629864
57,1,843.751,758.665,0.496954
58,1,839.204,749.469,0.640193
59,1,843.31,749.966,0.635798
60,1,844.737,749.848,0.66177
61,1,845.926,746.923,0.707278
62,1,845.536,748.063,0.652409
63,1,848.94,746.821,0.66187
64,1,849.096,746.844,0.670893
65,1,851.24,746.859,0.684279
66,1,851.594,747.754,0.674724
67,1,853.734,748.03,0.65174
68,1,855.935,747.295,0.628662
69,1,859.177,745.893,0.62041
70,1,859.325,746.945,0.68139
71,1,859.976,747.822,0.657541
72,1,862.896,746.607,0.637599
73,1,865.895,745.737,0.65229
74,1,866.418,747.141,0.65722
75,1,865.867,747.927,0.672185
76,1,863.261,758.854,0.39507
77,1,870.583,745.899,0.683668
78,1,0,0,0
79,1,873.232,744.789,0.661311
80,1,869.714,757.98,0.402535
81,1,875.226,746.393,0.663467
82,1,878.763,745.21,0.677923
83,1,880.427,744.489,0.652028
84,1,902.648,768.765,0.122189
85,1,884.312,744.342,0.673007
86,1,876.806,754.64,0.388645
87,1,886.024,744.53,0.632485
88,1,873.771,748.942,0.654903
89,1,888.794,745.178,0.638157
90,1,889.153,746.574,0.652727
91,1,890.443,745.421,0.640859
92,1,894.522,744.229,0.649611
93,1,895.166,745.533,0.649888
94,1,897.692,744.596,0.656773
95,1,897.729,743.167,0.671276
96,1,898.836,743.246,0.661381
97,1,900.672,743.265,0.662701
98,1,901.224,744.292,0.664035
99,1,902.54,744.051,0.641712
100,1,904.395,741.953,0.64801
101,1,906.741,742.698,0.65647
102,1,908.775,742.417,0.684514
103,1,908.6,743.427,0.666596
104,1,909.744,743.055,0.654841
105,1,912.052,742.566,0.678055
106,1,913.282,741.399,0.648086
107,1,914.146,742.639,0.675802
108,1,916.318,742.227,0.665023
109,1,912.43,752.081,0.388015
110,1,918.666,742.644,0.694108
111,1,918.785,754.83,0.479084
112,1,920.665,742.696,0.653018
113,1,926.933,757.916,0.446134
114,1,924.53,741.682,0.67358
115,1,925.374,742.026,0.669596
116,1,925.229,742.353,0.665883
117,1,919.51,751.275,0.488709
118,1,928.365,740.507,0.647011
119,1,921.225,745.726,0.545148
120,1,932.653,739.414,0.619945
121,1,933.871,738.368,0.632234
122,1,935.133,738.212,0.631939
123,1,935.77,739.468,0.632719
124,1,937.541,737.567,0.642502
125,1,937.778,738.17,0.661054
126,1,940.391,737.418,0.653188
127,1,941.245,738.565,0.631452
128,1,942.919,736.991,0.654384
129,1,944.287,737.905,0.66333
130,1,945.582,737.583,0.706797
131,1,947.881,736.372,0.638602
132,1,960.042,753.154,0.210006
133,1,949.312,736.019,0.65853
134,1,942.376,744.96,0.46756
135,1,952.79,736.324,0.623793
136,1,966.857,755.648,0.377384
137,1,955.36,735.862,0.657037
138,1,956.196,735.076,0.639616
139,1,956.463,736.392,0.64507
140,1,0,0,0
141,1,960.628,734.369,0.64938
142,1,968.603,749.08,0.423271
143,1,962.784,734.319,0.627119
144,1,960.365,744.244,0.349076
145,1,964.415,733.564,0.669696
146,1,965.518,734.502,0.666575
147,1,968.044,731.659,0.686371
148,1,970.902,745,0.374187
149,1,969.615,731.978,0.608777
150,1,970.173,740.203,0.526982
151,1,971.648,730.827,0.662461
152,1,973.899,729.278,0.64939
153,1,974.466,728.366,0.660534
154,1,975.6,729.355,0.688524
155,1,977.048,729.067,0.665868
156,1,977.238,729.637,0.672989
157,1,980.005,728.763,0.658315
158,1,980.97,727.047,0.657807
159,1,980.982,726.533,0.672943
160,1,981.273,726.748,0.676338
161,1,984.913,724.8,0.625018
162,1,985.448,725.484,0.636125
163,1,985.917,724.743,0.628486
164,1,987.411,724.682,0.63908
165,1,0,0,0
166,1,988.736,724.684,0.65124
167,1,1000.21,728.93,0.05547
168,1,990.226,724.471,0.673848
169,1,993.869,738.314,0.384842
170,1,989.767,724.131,0.584444
171,1,992.77,723.335,0.682857
172,1,994.286,721.906,0.639418
173,1,995.71,730.726,0.356088
174,1,994.8,722.469,0.649495
175,1,1009.08,734.5,0.172434
176,1,997.45,720.98,0.693736
177,1,1014.48,686.045,0.143041
178,1,999.186,720.993,0.687676
179,1,998.227,721.107,0.658634
180,1,999.824,720.41,0.683477
181,1,1001.06,718.265,0.652564
182,1,1002.48,718.749,0.637857
183,1,1002.41,718.159,0.638475
184,1,1002.9,720.249,0.69003
185,1,1004.17,718.258,0.680086
186,1,1003.65,718.999,0.634966
187,1,1005.16,719.82,0.668336
188,1,1006.87,717.303,0.62954
189,1,1008.2,717.32,0.645798
190,1,1008.6,717.354,0.670709
191,1,1008.41,718.288,0.610622
192,1,1009.64,717.897,0.621863
193,1,0,0,0
194,1,0,0,0
195,1,1013.35,716.299,0.662063
196,1,1015.21,719.253,0.656443
197,1,1015.12,718.026,0.683096
198,1,1020.15,682.809,0.0627031
199,1,1016.47,717.996,0.706953
200,1,1023.67,666.25,0.111916
201,1,1017.09,717.151,0.69247
202,1,1011.88,722.766,0.308865
203,1,1019.12,718.261,0.711779
204,1,1021.02,717.401,0.666921
205,1,1021.54,717.236,0.71955
206,1,1016.73,720.746,0.285212
207,1,1024.11,716.987,0.683251
208,1,1021.8,719.735,0.188964
209,1,1023.24,717.82,0.723648
210,1,1023.96,722.87,0.331618
211,1,1026.37,716.099,0.736486
212,1,1027.95,716.108,0.718999
213,1,1027.58,716.921,0.684249
214,1,1027.06,715.51,0.691155
215,1,1030.05,716.07,0.702758
216,1,1029.72,715.99,0.703787
217,1,1030.38,715.236,0.71977
218,1,1031.06,716.944,0.715916
219,1,1032.17,717.107,0.706155
220,1,1032.76,715.957,0.714135
221,1,1031.65,723.861,0.589063
222,1,1033.86,716.882,0.690397
223,1,1049.24,717.349,0.167698
224,1,1036.82,717.984,0.690515
225,1,1033.32,716.154,0.567742
226,1,1037.46,718.042,0.67112
227,1,1037.9,717.877,0.683045
228,1,1038.2,718.837,0.668367
229,1,1043.04,722.487,0.468445
230,1,1039.21,718.847,0.685255
231,1,1049.24,712.572,0.166151
232,1,1041.75,718.234,0.673292
233,1,1059.56,666.554,0.0746134
234,1,1043.26,718.359,0.669562
235,1,1045.06,718.829,0.719825
236,1,1046.38,718.92,0.750672
237,1,1037.97,728.303,0.424641
238,1,1045.9,719.794,0.692063
239,1,1043.25,721.625,0.659604
240,1,0,0,0
241,1,1049.67,721.213,0.705204
242,1,1049.27,720.934,0.660446
243,1,1050.55,720.74,0.69711
244,1,1051.32,720.807,0.692079
245,1,1052.25,721.598,0.709041
246,1,1053.02,721.124,0.688874
247,1,1053.37,721.237,0.678077
248,1,1052.97,721.916,0.651108
249,1,1054.73,720.757,0.693022
250,1,1054.51,721.143,0.671979
251,1,1054.82,721.678,0.682974
252,1,1054.35,722.797,0.687958
253,1,1055.75,721.752,0.71556
254,1,1053.82,727.787,0.234187
255,1,1056.28,722.441,0.689055
256,1,1055.59,725.937,0.33158
257,1,1058.5,720.871,0.704483
258,1,1053.28,718.985,0.161832
259,1,1059.61,721.856,0.720431
260,1,1060.05,722.725,0.723096
261,1,1059.84,722.758,0.693319
262,1,1060.72,724.779,0.744252
263,1,1062.03,722.785,0.740496
264,1,1058.57,728.415,0.488522
265,1,1062.44,722,0.670103
266,1,1058.37,722.077,0.659769
267,1,1062.85,721.811,0.722207
268,1,0,0,0
269,1,1062.9,723.561,0.68585
270,1,1058.06,723.664,0.557309
271,1,1063.97,723.769,0.690603
272,1,1065.51,723.79,0.74089
273,1,1064.94,723.665,0.682759
274,1,1064.86,723.777,0.685878
275,1,1065.48,724.685,0.70287
276,1,1065.35,724.772,0.710021
277,1,1065.86,725.53,0.694379
278,1,1067.41,723.655,0.707873
279,1,1067.73,724.777,0.699977
280,1,1067.35,724.67,0.722113
281,1,1067.52,725.782,0.699405
282,1,1067.87,725.529,0.723942
283,1,1067.95,725.694,0.716311
284,1,1068.6,725.662,0.728244
285,1,1062.49,722.669,0.380159
286,1,1068.22,725.769,0.714796
287,1,1069.72,726.724,0.415757
288,1,1069.68,725.815,0.692216
289,1,1079.94,728.722,0.100757
290,1,1072.15,726.96,0.699216
291,1,1070.54,727.192,0.707938
292,1,1071.81,727.859,0.732091
293,1,1068.5,728.305,0.676909
294,1,1072.5,727.925,0.723144
295,1,1074.05,731.585,0.480734
296,1,1072.35,727.985,0.744151
297,1,1072.48,730.5,0.599382
298,1,1071.38,729.814,0.727828
299,1,1071.76,730.803,0.715544
300,1,1071.71,730.741,0.733315
301,1,1072.23,729.763,0.742578
302,1,1072.67,730.693,0.738177
303,1,1072.68,729.092,0.735301
304,1,1071.72,731.009,0.736842
305,1,1072.44,732.527,0.737464
306,1,1071.4,732.42,0.744969
307,1,1071.73,731.876,0.71588
308,1,1071.54,731.722,0.698994
309,1,1072.06,731.95,0.732256
310,1,1070.42,731.848,0.734323
311,1,1070.59,733.658,0.747872
312,1,1070.21,733.451,0.720597
313,1,1069.17,733.767,0.773736
314,1,1068.52,734.659,0.750507
315,1,1068.09,734.068,0.743447
316,1,1066.3,735.563,0.695477
317,1,1064.59,735.014,0.721056
318,1,1069.95,732.754,0.601825
319,1,1062.14,737.029,0.6873
320,1,1072.21,728.946,0.377083
321,1,1059.04,736.908,0.683269
322,1,0,0,0
323,1,1055.14,736.984,0.716539
324,1,1052.21,737.836,0.659045
325,1,1050.53,739.664,0.652477
326,1,1061.77,734.913,0.727813
327,1,1045.09,738.685,0.684143
328,1,1058.04,737.606,0.656943
329,1,0,0,0
330,1,1055.49,739.292,0.330518
331,1,1027.58,741.936,0.613429
332,1,1024.02,740.792,0.639346
333,1,1017.26,743.654,0.600773
