flame_id,reindexed_id,x,y,credibility
1,1,780.339,685.586,0.777719
2,1,781.752,684.494,0.795439
3,1,782.441,684.224,0.736253
4,1,783.685,683.657,0.752652
5,1,785.537,685.293,0.781158
6,1,786.45,684.474,0.815054
7,1,787.529,685.931,0.78715
8,1,788.033,684.661,0.816135
9,1,789.984,685.056,0.728658
10,1,791.062,685.295,0.819017
11,1,793.431,684.658,0.879403
12,1,780.354,685.838,0.449332
13,1,795.888,684.341,0.812202
14,1,787.915,685.183,0.561787
15,1,799.162,685.334,0.853398
16,1,0,0,0
17,1,801.373,684.517,0.699694
18,1,802.669,684.893,0.789802
19,1,804.508,684.653,0.786341
20,1,793.421,687.031,0.588405
21,1,807.528,685.901,0.760331
22,1,796.04,683.4,0.649709
23,1,811.487,685.899,0.811418
24,1,799.759,689.064,0.563079
25,1,813.909,686.167,0.758336
26,1,816.785,686.242,0.780322
27,1,817.5,686.275,0.855624
28,1,809.224,686.815,0.722261
29,1,821.235,686.052,0.74646
30,1,781.969,711.879,0.51504
31,1,822.182,686.172,0.706635
32,1,824.34,686.355,0.601189
33,1,826.838,684.814,0.695227
34,1,828.698,686.623,0.68147
35,1,831.86,686.744,0.728669
36,1,832.954,686.486,0.698814
37,1,833.907,687.048,0.680255
38,1,835.006,685.616,0.746552
39,1,836.509,686.471,0.727956
40,1,837.483,687.36,0.780551
41,1,839.548,685.747,0.673879
42,1,839.983,685.983,0.686607
43,1,841.737,686.33,0.784935
44,1,844.285,685.863,0.663743
45,1,828.805,687.625,0.681802
46,1,846.988,685.39,0.66336
47,1,828.674,687.954,0.41808
48,1,850.508,687.487,0.646659
49,1,0,0,0
50,1,853.349,685.967,0.656005
51,1,855.303,686.729,0.692736
52,1,856.624,687.754,0.689711
53,1,846.126,688.905,0.568866
54,1,860.364,686.574,0.699884
55,1,853.307,688.091,0.691527
56,1,863.771,685.406,0.686964
57,1,853.672,687.411,0.6649
58,1,864.464,686.785,0.667711
59,1,867.579,687.559,0.711455
