flame_id,reindexed_id,x,y,credibility
1,1,815.359,727.44,0.461482
2,1,825.152,733.97,0.409204
3,1,825.191,733.68,0.446452
4,1,827.226,733.418,0.399298
5,1,829.073,734.16,0.430819
6,1,830.115,735.268,0.441032
7,1,832.272,734.976,0.427189
8,1,834.362,734.553,0.477873
9,1,831.129,732.462,0.493223
10,1,834.606,734.064,0.422138
11,1,838.886,735.461,0.45891
12,1,815.65,728.021,0.433662
13,1,830.578,726.838,0.455493
14,1,829.802,746.676,0.306398
15,1,845.145,734.854,0.545693
16,1,0,0,0
17,1,847.498,735.164,0.537689
18,1,846.66,735.169,0.483824
19,1,845.485,733.646,0.461316
20,1,840.766,736.959,0.402056
21,1,845.693,731.873,0.461745
22,1,831.886,721.69,0.544633
23,1,852.494,734.595,0.441385
24,1,837.206,721.286,0.564774
25,1,858.129,736.578,0.560747
26,1,860.997,736.643,0.55448
27,1,861.046,736.788,0.625703
28,1,854.728,736.694,0.396298
29,1,864.288,737.547,0.534253
30,1,851.491,733.27,0.35113
31,1,868.706,737.169,0.618437
32,1,871.21,737.564,0.627167
33,1,871.247,739.88,0.626653
34,1,873.086,739.888,0.663142
35,1,875.012,739.854,0.575154
36,1,877.507,740.285,0.578969
37,1,878.616,739.074,0.603532
38,1,878.211,739.191,0.636818
39,1,880.927,738.577,0.614401
40,1,883.073,737.17,0.620509
41,1,884.136,739.078,0.595077
42,1,883.834,736.099,0.626432
43,1,885.924,738.633,0.630546
44,1,888.059,738.756,0.618374
45,1,875.287,740.995,0.559903
46,1,889.664,739.87,0.611028
47,1,875.248,739.608,0.530911
48,1,892.306,741.36,0.649728
49,1,0,0,0
50,1,896.694,739.927,0.663578
51,1,898.823,739.131,0.619414
52,1,899.915,740.065,0.650951
53,1,892.242,738.375,0.557382
54,1,903.013,740.774,0.652029
55,1,894.181,740.112,0.590935
56,1,905.914,739.839,0.639051
57,1,896.064,737.018,0.563046
58,1,907.501,740.114,0.690254
59,1,909.184,738.698,0.604565
60,1,911.913,740.251,0.607437
61,1,913.942,738.203,0.507533
62,1,915.665,738.298,0.622047
63,1,917.02,737.863,0.594815
64,1,918.818,738.901,0.545012
65,1,919.499,738.108,0.614539
66,1,921.168,737.318,0.543303
67,1,923.284,738.094,0.564733
68,1,923.277,736.8,0.584048
69,1,926.279,739.098,0.576659
70,1,928.609,736.421,0.507436
71,1,930.138,736.42,0.520445
72,1,931.058,737.755,0.591516
73,1,930.99,736.06,0.532957
74,1,932.775,736.8,0.509638
75,1,933.976,735.857,0.564863
76,1,918.792,740.045,0.502194
77,1,937.383,735.489,0.503925
78,1,0,0,0
79,1,940.333,736.843,0.623829
80,1,923.375,737.747,0.529507
81,1,943.118,736.819,0.590506
82,1,944.734,735.269,0.563359
83,1,944.845,735.783,0.485234
84,1,934.633,736.779,0.709071
85,1,945.373,731.257,0.385865
86,1,937.705,734.341,0.526048
87,1,946.092,723.673,0.430911
88,1,943.396,736.603,0.629363
89,1,953.198,732.993,0.449679
90,1,951.3,721.716,0.366966
91,1,952.05,723.353,0.327709
92,1,952.673,720.44,0.417596
93,1,955.777,718.793,0.436161
94,1,957.571,717.784,0.504933
95,1,958.487,715.468,0.464501
96,1,960.643,714.16,0.465194
97,1,961.592,720.534,0.436417
98,1,962.833,718.545,0.42388
99,1,966.047,717.217,0.489715
100,1,966.964,716.925,0.501735
101,1,967.667,716.208,0.508522
102,1,967.924,717.324,0.435734
103,1,970.978,714.497,0.55348
104,1,973.388,720.645,0.375086
105,1,971.785,718.495,0.352696
106,1,974.971,717.605,0.438939
107,1,976.871,715.252,0.489757
108,1,977.759,714.716,0.469524
109,1,955.204,721.784,0.254868
110,1,979.609,714.861,0.446907
111,1,959.601,715.751,0.423107
112,1,983.097,715.94,0.458774
113,1,960.173,715.693,0.288207
114,1,983.511,717.553,0.332921
115,1,987.612,716.242,0.431778
116,1,989.8,720.527,0.380123
117,1,980.028,724.684,0.564292
118,1,991.827,719.055,0.395802
119,1,981.896,721.079,0.358694
120,1,993.274,713.561,0.420131
121,1,995.514,714.798,0.42313
122,1,996.087,717.595,0.367454
123,1,998.623,717.606,0.3317
124,1,999.391,713.365,0.407316
125,1,1000.71,722.439,0.313458
126,1,1000.36,715.612,0.352957
127,1,1002.27,712.151,0.401966
128,1,1006.07,712.431,0.405843
129,1,1004.98,711.763,0.349834
130,1,1007.64,721.598,0.295503
131,1,1009.66,725.14,0.31227
132,1,1001.22,717.593,0.388142
133,1,1011.36,716.856,0.308369
134,1,999.858,710.656,0.426773
135,1,1013.69,711.613,0.312399
136,1,1015.78,710.284,0.211401
137,1,1015.92,715.365,0.278013
138,1,1019.83,723.679,0.333229
139,1,1021.34,722.491,0.306575
140,1,0,0,0
141,1,1021.57,709.992,0.359998
142,1,1012.35,712.941,0.256182
143,1,1027.81,723.329,0.31642
144,1,1021.11,727.421,0.494223
145,1,1027.87,714.527,0.320799
146,1,1026.97,712.487,0.307347
147,1,1028.71,709.929,0.374069
148,1,1019.03,711.681,0.283511
149,1,1030.45,711.386,0.295561
150,1,1023.14,711.955,0.245759
151,1,1035.75,722.216,0.328156
152,1,1038.13,719.831,0.304419
153,1,1033.18,705.997,0.314741
154,1,1039.55,721.013,0.332063
155,1,1042.1,720.582,0.331013
156,1,1041.37,711.314,0.304586
157,1,1041.19,705.02,0.272317
158,1,1041.72,702.926,0.330199
159,1,1042.46,703.93,0.363973
160,1,1041.58,705.731,0.279347
161,1,1043.72,702.523,0.378107
162,1,1045.92,703.495,0.322503
163,1,1046.41,702.17,0.352211
164,1,1046.4,701.445,0.371011
165,1,0,0,0
166,1,1047.8,701.057,0.334057
167,1,1037.22,723.377,0.23257
168,1,1048.87,703.395,0.292852
169,1,1037.33,702.099,0.365952
170,1,1053.85,711.129,0.257062
171,1,1051.68,698.344,0.400726
172,1,1052.32,698.166,0.381676
173,1,1053.1,722.527,0.378309
174,1,1052.65,696.658,0.395958
175,1,1050.61,716.04,0.246001
176,1,1054.35,698.221,0.385035
177,1,1049.99,693.147,0.112024
178,1,1057.98,696.052,0.375206
179,1,1058.3,698.223,0.327225
180,1,1059.42,696.393,0.413511
181,1,1059.66,696.628,0.344472
182,1,1061.16,696.18,0.319171
183,1,1063.56,694.778,0.380948
184,1,1065.19,698.582,0.352423
185,1,1062.62,695.779,0.400373
186,1,1063.32,696.624,0.322092
187,1,1064.19,698.603,0.309813
188,1,1065.66,695.925,0.303517
189,1,1067.46,696.092,0.32849
190,1,1067.46,696.84,0.35032
191,1,1069.16,698.633,0.277688
192,1,1071.59,708.904,0.353464
193,1,0,0,0
194,1,0,0,0
195,1,1071.96,693.209,0.398278
196,1,1070.63,694.313,0.338125
197,1,1074.44,693,0.378878
198,1,1061.28,696.198,0.26834
199,1,1076.55,693.962,0.383065
200,1,1061.42,728.768,0.372901
201,1,1076.41,693.979,0.473725
202,1,1066.72,697.596,0.282912
203,1,1078.59,693.718,0.387438
204,1,1078.41,693.334,0.355283
205,1,1081.2,696.727,0.376228
206,1,1077.04,700.016,0.418343
207,1,1080.92,693.32,0.390401
208,1,1078.16,717.917,0.301424
209,1,1083.74,693.243,0.40649
210,1,1093.93,706.299,0.321063
211,1,1085.35,692.698,0.409065
212,1,1083.72,690.587,0.431973
213,1,1086.89,689.551,0.481725
214,1,1088.3,688.881,0.487007
215,1,1087.35,689.695,0.464942
216,1,1089.45,692.286,0.403773
217,1,1089.37,691.269,0.473508
218,1,1090.39,691.911,0.439394
219,1,1091.54,691.662,0.474669
220,1,1092.85,692.694,0.432868
221,1,1087.65,690.088,0.618759
222,1,1094.28,689.828,0.489009
223,1,1093.16,706.809,0.460499
224,1,1093.79,695.194,0.387374
225,1,1097.17,687.374,0.422392
226,1,1096.99,693.165,0.461835
227,1,1099.05,690.901,0.514154
228,1,1097.93,693.366,0.509947
229,1,1090.96,689.939,0.56955
230,1,1099.33,693.342,0.552116
231,1,1096.71,712.572,0.294905
232,1,1100.92,694.026,0.484469
233,1,1102.37,705.56,0.576383
234,1,1103.57,691.749,0.503697
235,1,1104.49,692.216,0.597595
236,1,1105.63,692.885,0.647373
237,1,1092.75,697.136,0.342573
238,1,1105.46,693.128,0.577076
239,1,1100.19,690.823,0.679063
240,1,0,0,0
241,1,1108.46,694.576,0.49893
242,1,1109.2,695.51,0.480732
243,1,1110.48,697.688,0.45668
244,1,1112.7,699.417,0.376423
245,1,1112.74,699.262,0.380486
246,1,1113.52,699.718,0.397317
247,1,1114.76,698.995,0.40512
248,1,1114.92,697.674,0.424367
249,1,1115.49,698.661,0.406436
250,1,1114.35,697.207,0.462756
251,1,1116.2,697.306,0.442684
252,1,1117.18,696.928,0.436933
253,1,1117.39,697.832,0.431342
254,1,1114.61,702.143,0.487642
255,1,1118.4,697.232,0.472649
256,1,1116.73,706.83,0.57537
257,1,1117.98,698.209,0.481845
