970.964,751.595,0.343531,944.327,734.471,0.295743,920.543,720.201,0.345625,923.397,679.294,0.530956,916.738,644.095,0.39908,925.3,722.104,0.751071,925.3,681.197,0.570087,940.521,658.365,0.735006,942.424,636.484,0.76091,951.937,728.763,0.629719,943.375,688.807,0.73457,947.181,658.365,0.714367,944.327,636.484,0.649459,970.964,727.812,0.621634,967.159,684.051,0.54779,961.451,665.975,0.485385,952.889,651.705,0.353231,991.893,719.25,0.737077,984.282,690.71,0.718362,976.672,677.391,0.71505,969.061,667.878,0.595086
968.257,752.561,0.35158,940.665,735.086,0.239839,923.191,720.371,0.25185,922.271,684.502,0.529261,920.432,644.035,0.429027,925.03,724.05,0.769518,924.111,683.582,0.585974,940.665,657.83,0.695569,943.425,635.757,0.774646,951.702,730.488,0.690228,944.344,687.261,0.773106,948.943,655.991,0.72023,945.264,634.837,0.690991,972.856,727.729,0.631673,967.337,682.663,0.699867,959.06,659.67,0.484598,951.702,646.794,0.511789,990.33,720.371,0.757566,982.972,687.261,0.666297,976.534,677.144,0.680419,969.177,666.108,0.478645
969.82,756.633,0.291518,941.801,734.218,0.207291,925.924,719.275,0.170591,889.499,644.557,0.454102,920.32,644.557,0.484687,925.924,723.011,0.8104,925.924,680.048,0.653698,940.867,657.633,0.696378,945.537,638.02,0.775288,949.273,730.482,0.682981,945.537,687.52,0.74242,949.273,656.699,0.734081,947.405,635.218,0.681177,971.688,727.68,0.660363,968.886,683.784,0.614915,959.547,662.303,0.490032,954.877,648.293,0.469623,992.236,719.275,0.765398,984.764,688.454,0.6959,977.292,677.246,0.716398,969.82,667.906,0.5298
968.825,755.691,0.202724,940.933,733.571,0.141395,931.316,718.182,0.162163,892.845,647.012,0.5042,922.66,644.126,0.439554,925.545,724.915,0.781256,924.583,681.635,0.659318,941.895,657.591,0.684064,946.704,635.471,0.778714,952.475,730.685,0.669365,946.704,688.368,0.812082,950.551,656.629,0.731248,947.666,634.509,0.707106,972.672,727.8,0.649824,970.748,681.635,0.655026,962.092,661.438,0.462262,955.36,648.935,0.421717,992.869,719.144,0.78589,986.136,688.368,0.705994,978.442,677.788,0.645495,970.748,665.285,0.511345
973.442,754.178,0.254931,945.238,735.375,0.224636,927.375,719.393,0.280896,927.375,680.848,0.486471,921.735,643.242,0.504682,929.256,723.153,0.766578,929.256,680.848,0.647668,944.298,658.284,0.710015,945.238,637.602,0.774961,953.699,730.674,0.628493,947.118,688.369,0.75208,951.819,657.344,0.740705,946.178,636.661,0.696875,974.382,727.854,0.670329,970.621,683.668,0.616892,964.04,662.045,0.473979,953.699,648.883,0.383446,995.065,719.393,0.77151,987.544,689.309,0.682454,980.023,677.087,0.733377,973.442,666.746,0.628798
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
976.712,753.222,0.432748,948.911,734.389,0.327196,927.388,720.041,0.333443,928.285,682.375,0.564393,925.594,646.503,0.351534,930.975,723.628,0.712968,930.078,683.272,0.552309,948.911,659.058,0.770017,949.808,637.535,0.771222,956.982,729.905,0.564156,948.911,688.653,0.744346,955.189,657.264,0.640128,951.602,634.844,0.605761,977.609,727.215,0.64075,971.331,684.169,0.666778,965.054,662.645,0.435374,956.982,646.503,0.450528,996.442,719.144,0.748393,987.474,689.549,0.670144,982.093,676.097,0.696223,974.919,667.129,0.493419
969.361,772.057,0.153093,946.713,733.653,0.10567,936.865,715.928,0.130023,897.476,646.012,0.519954,928.988,647.982,0.451164,929.972,722.821,0.774813,929.972,681.462,0.708481,945.728,657.829,0.691477,951.636,636.165,0.7616,953.606,729.714,0.712745,950.651,688.356,0.831455,954.59,656.844,0.755472,952.621,634.196,0.702821,977.239,728.729,0.668708,973.3,683.432,0.586666,967.392,661.768,0.478629,960.499,649.951,0.390637,998.903,719.867,0.718671,991.025,689.34,0.595835,984.132,677.524,0.669996,976.254,665.707,0.630182
974.822,752.729,0.244308,947.857,733.203,0.176047,933.909,716.466,0.18069,932.05,678.343,0.441298,930.19,647.658,0.412471,932.05,722.975,0.807546,932.05,679.272,0.638416,947.857,656.956,0.728309,952.506,635.57,0.723758,956.225,730.413,0.68282,951.576,686.711,0.750388,956.225,656.026,0.697669,953.436,633.71,0.70661,978.542,726.694,0.682582,975.752,682.992,0.63502,966.454,660.676,0.442824,960.875,647.658,0.377319,998.998,719.255,0.754143,991.559,687.641,0.698759,984.12,677.413,0.682113,975.752,665.325,0.529148
973.969,761.218,0.219851,948.065,736.273,0.154744,933.673,719.003,0.192855,930.795,681.586,0.426716,923.12,641.29,0.357301,931.754,722.841,0.805168,930.795,681.586,0.670567,949.983,658.56,0.684647,952.862,636.493,0.794452,958.618,730.516,0.696252,951.902,688.302,0.849282,956.699,656.641,0.704873,952.862,635.534,0.620679,978.766,728.598,0.659846,976.847,682.545,0.656945,968.212,660.479,0.442433,960.537,645.128,0.372736,999.873,719.963,0.761749,992.198,689.261,0.646485,984.523,675.829,0.637307,979.725,666.235,0.524722
